dataset,model,prompt,is_open,co2_g,throughput_tok_s,runtime_seconds,num_examples,docs_per_sec
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,cot,True,4.132363424607,11297.17,111,1249,11.252252252252251
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,default,True,4.687608498184,3131.71,204,1249,6.122549019607843
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,default_no_label_definitions,True,4.544556114903,3112.46,185,1249,6.751351351351351
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,few_shot_12,True,1.402461003236,24770.86,51,1249,24.49019607843137
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,few_shot_15,True,1.389994637391,29140.39,49,1249,25.489795918367346
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,few_shot_3,True,2.233828317738,5571.79,136,1249,9.183823529411764
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,few_shot_6,True,1.558636366036,17166.31,55,1249,22.70909090909091
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,few_shot_9,True,1.318486465622,23214.06,47,1249,26.574468085106382
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,question,True,2.209311802509,10195.12,67,1249,18.64179104477612
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,semantic_icl_12,True,3.192104799698,13698.08,93,1249,13.43010752688172
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,semantic_icl_15,True,4.057185014124,11212.17,128,1249,9.7578125
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,semantic_icl_3,True,2.9664168125,5131.56,154,1249,8.11038961038961
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,semantic_icl_6,True,2.810872150606,9356.45,101,1249,12.366336633663366
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,semantic_icl_9,True,3.114685199043,11951.17,93,1249,13.43010752688172
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,task_definition,True,2.664730473254,8210.16,81,1249,15.419753086419753
SemEval 2016,DeepSeek-R1-Distill-Llama-8B,task_definition_scale,True,2.820189963009,4867.61,153,1249,8.163398692810457
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,cot,True,6.513934824517,7232.17,166,1249,7.524096385542169
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,default,True,6.886795583005,1917.81,303,1249,4.122112211221122
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,default_no_label_definitions,True,6.31507638251,2101.6,246,1249,5.0772357723577235
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,few_shot_12,True,2.556296093144,15600.33,80,1249,15.6125
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,few_shot_15,True,2.459508026106,17878.25,79,1249,15.810126582278482
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,few_shot_3,True,3.67680362097,3486.98,215,1249,5.809302325581395
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,few_shot_6,True,2.999601525073,9914.36,92,1249,13.576086956521738
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,few_shot_9,True,2.428417658191,13728.14,78,1249,16.012820512820515
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,question,True,3.506447913206,6364.47,98,1249,12.744897959183673
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,semantic_icl_12,True,5.396755000937,8663.33,142,1249,8.795774647887324
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,semantic_icl_15,True,6.234908214151,8549.47,163,1249,7.662576687116564
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,semantic_icl_3,True,4.461436710965,3076.47,243,1249,5.139917695473251
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,semantic_icl_6,True,4.066106032814,7770.12,117,1249,10.675213675213675
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,semantic_icl_9,True,4.960232784547,8024.22,133,1249,9.390977443609023
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,task_definition,True,3.87526628347,5683.81,108,1249,11.564814814814815
SemEval 2016,DeepSeek-R1-Distill-Qwen-14B,task_definition_scale,True,5.200252906252,2671.31,255,1249,4.898039215686275
SemEval 2016,Llama-3.1-8B-Instruct,cot,True,0.944130518271,20254.77,31,1249,40.29032258064516
SemEval 2016,Llama-3.1-8B-Instruct,default,True,1.594776346961,3343.13,91,1249,13.725274725274724
SemEval 2016,Llama-3.1-8B-Instruct,default_no_label_definitions,True,0.720174648461,7904.97,32,1249,39.03125
SemEval 2016,Llama-3.1-8B-Instruct,few_shot_12,True,0.382367501229,41538.88,24,1249,52.041666666666664
SemEval 2016,Llama-3.1-8B-Instruct,few_shot_15,True,0.380138152332,46221.48,25,1249,49.96
SemEval 2016,Llama-3.1-8B-Instruct,few_shot_3,True,1.066181429213,5384.4,94,1249,13.287234042553191
SemEval 2016,Llama-3.1-8B-Instruct,few_shot_6,True,0.358187791582,29060.7,23,1249,54.30434782608695
SemEval 2016,Llama-3.1-8B-Instruct,few_shot_9,True,0.399776001535,31860.73,26,1249,48.03846153846154
SemEval 2016,Llama-3.1-8B-Instruct,question,True,0.603421652696,13834.0,24,1249,52.041666666666664
SemEval 2016,Llama-3.1-8B-Instruct,semantic_icl_12,True,1.343057390177,22014.64,44,1249,28.386363636363637
SemEval 2016,Llama-3.1-8B-Instruct,semantic_icl_15,True,1.610391689969,20845.52,54,1249,23.12962962962963
SemEval 2016,Llama-3.1-8B-Instruct,semantic_icl_3,True,1.212770379118,5242.64,95,1249,13.147368421052631
SemEval 2016,Llama-3.1-8B-Instruct,semantic_icl_6,True,0.882802598038,15942.37,41,1249,30.463414634146343
SemEval 2016,Llama-3.1-8B-Instruct,semantic_icl_9,True,1.113754177784,18438.75,44,1249,28.386363636363637
SemEval 2016,Llama-3.1-8B-Instruct,task_definition,True,0.640262820019,12479.22,27,1249,46.25925925925926
SemEval 2016,Llama-3.1-8B-Instruct,task_definition_scale,True,1.169031833441,3868.42,100,1249,12.49
SemEval 2016,Nemotron-Mini-4B-Instruct,cot,True,0.435928265119,27564.09,23,1249,54.30434782608695
SemEval 2016,Nemotron-Mini-4B-Instruct,default,True,1.151957788037,2284.13,127,1249,9.834645669291339
SemEval 2016,Nemotron-Mini-4B-Instruct,default_no_label_definitions,True,0.207234373904,14701.69,16,1249,78.0625
