exp_id,llm_backend,openai_model,vllm_model,vllm_max_model_len,task_type,method_type,prompt_name,custom_dataset,text_column,query_column,category_column,few_shot_master_path
1,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
2,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
3,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
4,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
5,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
6,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
7,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
8,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
9,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
10,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
11,vllm,,Qwen/Qwen3-1.7B,40960,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
12,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
13,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
14,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
15,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
16,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
17,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
18,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
19,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
20,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
21,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
22,vllm,,Qwen/Qwen3-4B,40960,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
23,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
24,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
25,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
26,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
27,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
28,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
29,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
30,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
31,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
32,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
33,vllm,,Qwen/Qwen3-4B-Instruct-2507,262144,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
34,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
35,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
36,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
37,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
38,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
39,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
40,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
