Keywords,Text,Target 1,Stance 1,Domain,In Use,seen?,Ori Text
women's rights,"Women s Players Parents: The stick technology has made rapid changes in the last 2-3 years. Being the only piece of equipment besides goggles, it is IMPERATIVE that you test and explore your options so you find the right stick and pocket! It can really impact development!",The premise has the entailment relation with the hypothesis Impact Development!,NONE,rights_domain,1,1,"Women’s Players & Parents:

The stick technology has made rapid changes in the last 2-3 years. Being the only piece of equipment besides goggles, it is IMPERATIVE that you test and explore your options so you find the right stick and pocket!

It can really impact development!
3
6
74"
online shopping,i got an add-on that plays the wii shop music whenever i visit shopping sites this is my current deterrent for online shopping,The premise has entailment relation with online shopping!,NONE,consumption_and_entertainment_domain,1,1,"i got an add-on that plays the wii shop music whenever i visit shopping sites

this is my current deterrent for online shopping
1
7"
online shopping,i got an add-on that plays the wii shop music whenever i visit shopping sites this is my current deterrent for online shopping,This implies the entailment relation with music!,FAVOR,consumption_and_entertainment_domain,1,1,"i got an add-on that plays the wii shop music whenever i visit shopping sites

this is my current deterrent for online shopping
1
7"
Russia,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken coup Russia? that right? 389 1,059 4,777",The above text entails nazi-aligned regime!,AGAINST,world_event_domain,1,1,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken/coup Russia? that right?
389
1,059
4,777"
Russia,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken coup Russia? that right? 389 1,059 4,777",The premise has entailment relation with Putin!,FAVOR,world_event_domain,1,1,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken/coup Russia? that right?
389
1,059
4,777"
nuclear energy,Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals chemicals including raw materials for nuclear energy.,The above text entails nuclear energy!,FAVOR,environmental_protection_domain,1,1,"Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals & chemicals including raw materials for nuclear energy.
2
6"
nuclear energy,Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals chemicals including raw materials for nuclear energy.,The premise has the entailment relation with the hypothesis nautical miles!,NONE,environmental_protection_domain,1,1,"Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals & chemicals including raw materials for nuclear energy.
2
6"
Ukraine,At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine PhilBlackCNN reports,This implies the entailment relation with Russian airstrike!,AGAINST,world_event_domain,1,1,"At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine 
@PhilBlackCNN
 reports
12
28
61"
Ukraine,At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine PhilBlackCNN reports,This implies the entailment relation with bustling shopping mall!,NONE,world_event_domain,1,1,"At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine 
@PhilBlackCNN
 reports
12
28
61"
women's rights,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" But, sure, trans rights advocacy is the men's right movement.",The premise entails the hypothesis Gender-critical men!,FAVOR,rights_domain,1,1,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" 

But, sure, trans rights advocacy is the men's right movement.
7
9
82"
women's rights,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" But, sure, trans rights advocacy is the men's right movement.",The premise entails the hypothesis trans rights advocacy!,FAVOR,rights_domain,1,1,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" 

But, sure, trans rights advocacy is the men's right movement.
7
9
82"
women's rights,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" But, sure, trans rights advocacy is the men's right movement.",The premise has entailment relation with women!,NONE,rights_domain,1,1,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" 

But, sure, trans rights advocacy is the men's right movement.
7
9
82"
climate change,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.",The premise entails the hypothesis Climate change!,FAVOR,environmental_protection_domain,1,1,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.
1
10
27"
climate change,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.",This implies the entailment relation with economic lives!,NONE,environmental_protection_domain,1,1,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.
1
10
27"
private education,"Terror outfits like BH never win because they target the wrong people. What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?",The premise entails the hypothesis BH!,AGAINST,education_and_culture_domain,1,1,"Terror outfits like BH never win because they target the wrong people.
What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?
35
29"
private education,"Terror outfits like BH never win because they target the wrong people. What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?",The above text entails Northern senator!,AGAINST,education_and_culture_domain,1,1,"Terror outfits like BH never win because they target the wrong people.
What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?
35
29"
arming teachers,FOPofOhio OhioPTA OhioEA OFTadvocate OHschoolboards basa OhioPrincipals OAESA OAPSA1 oasbo . ohiogop Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? GregMild,The above text entails FOPofOhio!,NONE,education_and_culture_domain,1,1,"@FOPofOhio
 @OhioPTA
 @OhioEA
 @OFTadvocate
 @OHschoolboards
 @basa
 @OhioPrincipals
 @OAESA
 @OAPSA1
 @oasbo
 
.
@ohiogop
 Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? http://disq.us/t/439xa9f 
@GregMild"
arming teachers,FOPofOhio OhioPTA OhioEA OFTadvocate OHschoolboards basa OhioPrincipals OAESA OAPSA1 oasbo . ohiogop Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? GregMild,This implies the entailment relation with Arming Under-Trained Teachers!,AGAINST,education_and_culture_domain,1,1,"@FOPofOhio
 @OhioPTA
 @OhioEA
 @OFTadvocate
 @OHschoolboards
 @basa
 @OhioPrincipals
 @OAESA
 @OAPSA1
 @oasbo
 
.
@ohiogop
 Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? http://disq.us/t/439xa9f 
@GregMild"
WWE,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you nadia vinamkaycee Jun 25, 2021 It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.",The premise has entailment relation with Steve Koonin!,FAVOR,sports_domain,1,1,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you
nadia
@vinamkaycee
·
Jun 25, 2021
It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.
1
3
9"
WWE,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you nadia vinamkaycee Jun 25, 2021 It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.",This implies the entailment relation with Nick Khan!,FAVOR,sports_domain,1,1,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you
nadia
@vinamkaycee
·
Jun 25, 2021
It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.
1
3
9"
online shopping,"Shopping in FL seriously wears me out. Where s the A C? Nothing about being hot, sweaty dripping wet makes me wanna try on clothes. I can t stand them sticking to me. Online shopping it is. 3",The premise entails the hypothesis FL!,AGAINST,consumption_and_entertainment_domain,1,1,"Shopping in FL seriously wears me out. Where’s the A/C? Nothing about being hot, sweaty & dripping wet makes me wanna try on clothes. I can’t stand them sticking to me.  Online shopping it is.
3"
online shopping,"Shopping in FL seriously wears me out. Where s the A C? Nothing about being hot, sweaty dripping wet makes me wanna try on clothes. I can t stand them sticking to me. Online shopping it is. 3",The premise entails the hypothesis Online shopping!,FAVOR,consumption_and_entertainment_domain,1,1,"Shopping in FL seriously wears me out. Where’s the A/C? Nothing about being hot, sweaty & dripping wet makes me wanna try on clothes. I can’t stand them sticking to me.  Online shopping it is.
3"
tictok,"Lately I ve been thinking about whether weird stuff I see in FEC filings is a podcast or just a TikTok account. ok, just now, but the question remains.",This implies the entailment relation with FEC!,NONE,consumption_and_entertainment_domain,1,1,"Lately* I’ve been thinking about whether “weird stuff I see in FEC filings” is a podcast or just a TikTok account.

* ok, just now, but the question remains.
9
25"
tictok,"Lately I ve been thinking about whether weird stuff I see in FEC filings is a podcast or just a TikTok account. ok, just now, but the question remains.",The premise entails the hypothesis TikTok!,NONE,consumption_and_entertainment_domain,1,1,"Lately* I’ve been thinking about whether “weird stuff I see in FEC filings” is a podcast or just a TikTok account.

* ok, just now, but the question remains.
9
25"
cultural output,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of",This implies the entailment relation with wars of invasions!,AGAINST,education_and_culture_domain,1,1,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of"
cultural output,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of",The above text entails cultural monuments!,FAVOR,education_and_culture_domain,1,1,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of"
cultural output,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of",The premise has the entailment relation with the hypothesis cultural heritage!,FAVOR,education_and_culture_domain,1,1,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of"
vegetarian,"Man approaching 30 , earning 28L p.a. annum is looking for a bride not older than 25 years old. Girl should be UC, fair, atleast 5'8"", slim, from atleast an upper middle class family, pure vegetarian, atleast a post graduate willing to quit her job immediately after marriage. 116 224 1,318",The premise has the entailment relation with the hypothesis upper middle class family!,NONE,consumption_and_entertainment_domain,1,1,"Man approaching 30 , earning 28L p.a. annum is looking for a bride not older than 25 years old. Girl should be UC, fair, atleast 5'8"", slim, from atleast an upper middle class family, pure vegetarian, atleast a post graduate & willing to quit her job immediately after marriage.
116
224
1,318"
prices,We just put in an offer to buy a home. Payment should be 1500. But why is daycare more expensive than the house 1700 for 2 kids I know for a fact my parents weren t paying these prices lol GIF ALT,The premise has the entailment relation with the hypothesis house!,FAVOR,consumption_and_entertainment_domain,1,1,"We just put in an offer to buy a home. Payment should be ~$1500. 

But why is daycare more expensive than the house (~$1700 for 2 kids)

I know for a fact my parents weren’t paying these prices lol
GIF
ALT
6
12"
prices,We just put in an offer to buy a home. Payment should be 1500. But why is daycare more expensive than the house 1700 for 2 kids I know for a fact my parents weren t paying these prices lol GIF ALT,This implies the entailment relation with  parents!,FAVOR,consumption_and_entertainment_domain,1,1,"We just put in an offer to buy a home. Payment should be ~$1500. 

But why is daycare more expensive than the house (~$1700 for 2 kids)

I know for a fact my parents weren’t paying these prices lol
GIF
ALT
6
12"
Ukraine,"Ukraine will make the Russian army one of the weakest. Putin can't take on the world, he can't even beat a small country. Russia is becoming a laughing stock",The premise entails the hypothesis Ukraine!,FAVOR,world_event_domain,0,1,"Ukraine will make the Russian army one of the weakest.
Putin can't take on the world, he can't even beat a small country.
Russia is becoming a laughing stock
1
8"
Ukraine,"Ukraine will make the Russian army one of the weakest. Putin can't take on the world, he can't even beat a small country. Russia is becoming a laughing stock",The premise has entailment relation with Russian army!,AGAINST,world_event_domain,1,1,"Ukraine will make the Russian army one of the weakest.
Putin can't take on the world, he can't even beat a small country.
Russia is becoming a laughing stock
1
8"
Ukraine,"Ukraine will make the Russian army one of the weakest. Putin can't take on the world, he can't even beat a small country. Russia is becoming a laughing stock",This implies the entailment relation with Putin!,AGAINST,world_event_domain,1,1,"Ukraine will make the Russian army one of the weakest.
Putin can't take on the world, he can't even beat a small country.
Russia is becoming a laughing stock
1
8"
nuclear energy,"I agree. Even bigger mistake than abandoning nuclear energy. Jakub Janda 楊雅嚳 JakubJanda Jul 24, 2021 Germany makes a strategic mistake with North Stream 2. Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason. 15",The above text entails abandoning nuclear energy!,AGAINST,environmental_protection_domain,1,1,"I agree. Even bigger mistake than abandoning nuclear energy.
Jakub Janda 楊雅嚳
@_JakubJanda
·
Jul 24, 2021
Germany makes a strategic mistake with North Stream 2.

Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason.
15"
nuclear energy,"I agree. Even bigger mistake than abandoning nuclear energy. Jakub Janda 楊雅嚳 JakubJanda Jul 24, 2021 Germany makes a strategic mistake with North Stream 2. Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason. 15",The premise entails the hypothesis Generations in Central and Eastern Europe!,AGAINST,environmental_protection_domain,1,1,"I agree. Even bigger mistake than abandoning nuclear energy.
Jakub Janda 楊雅嚳
@_JakubJanda
·
Jul 24, 2021
Germany makes a strategic mistake with North Stream 2.

Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason.
15"
nuclear energy,"I agree. Even bigger mistake than abandoning nuclear energy. Jakub Janda 楊雅嚳 JakubJanda Jul 24, 2021 Germany makes a strategic mistake with North Stream 2. Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason. 15",The premise entails the hypothesis geopolitical failure!,AGAINST,environmental_protection_domain,1,1,"I agree. Even bigger mistake than abandoning nuclear energy.
Jakub Janda 楊雅嚳
@_JakubJanda
·
Jul 24, 2021
Germany makes a strategic mistake with North Stream 2.

Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason.
15"
health insurance,If you TRULY love your country Then it should be a matter of PRIDE That EVERYONE in your country has HEALTH INSURANCE,The premise has entailment relation with country!,FAVOR,consumption_and_entertainment_domain,0,1,"If you TRULY love your country

Then it should be a matter of PRIDE

That EVERYONE in your country has HEALTH INSURANCE
2
4
25"
health insurance,If you TRULY love your country Then it should be a matter of PRIDE That EVERYONE in your country has HEALTH INSURANCE,The above text entails HEALTH INSURANCE!,FAVOR,consumption_and_entertainment_domain,1,1,"If you TRULY love your country

Then it should be a matter of PRIDE

That EVERYONE in your country has HEALTH INSURANCE
2
4
25"
online shopping,Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity.. 2,The above text entails clothes!,NONE,consumption_and_entertainment_domain,1,1,"Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity..
2"
