Keywords,Text,Target 1,Stance 1,Domain,In Use,seen?,Ori Text
women's rights,"Women s Players Parents: The stick technology has made rapid changes in the last 2-3 years. Being the only piece of equipment besides goggles, it is IMPERATIVE that you test and explore your options so you find the right stick and pocket! It can really impact development!",Impact Development,NONE,rights_domain,1,1,"Women’s Players & Parents:

The stick technology has made rapid changes in the last 2-3 years. Being the only piece of equipment besides goggles, it is IMPERATIVE that you test and explore your options so you find the right stick and pocket!

It can really impact development!
3
6
74"
online shopping,i got an add-on that plays the wii shop music whenever i visit shopping sites this is my current deterrent for online shopping,online shopping,NONE,consumption_and_entertainment_domain,1,1,"i got an add-on that plays the wii shop music whenever i visit shopping sites

this is my current deterrent for online shopping
1
7"
online shopping,i got an add-on that plays the wii shop music whenever i visit shopping sites this is my current deterrent for online shopping,music,FAVOR,consumption_and_entertainment_domain,1,1,"i got an add-on that plays the wii shop music whenever i visit shopping sites

this is my current deterrent for online shopping
1
7"
Russia,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken coup Russia? that right? 389 1,059 4,777",nazi-aligned regime,AGAINST,world_event_domain,1,1,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken/coup Russia? that right?
389
1,059
4,777"
Russia,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken coup Russia? that right? 389 1,059 4,777",Putin,FAVOR,world_event_domain,1,1,"so let me get this straight. the US fomented revolt in Ukraine, installed a nazi-aligned regime that systematically erased Russian culture and killed people of the Donbas for 8 yrs, all to goad Putin into a hostile position for pretext to weaken/coup Russia? that right?
389
1,059
4,777"
nuclear energy,Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals chemicals including raw materials for nuclear energy.,nuclear energy,FAVOR,environmental_protection_domain,1,1,"Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals & chemicals including raw materials for nuclear energy.
2
6"
nuclear energy,Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals chemicals including raw materials for nuclear energy.,nautical miles,NONE,environmental_protection_domain,1,1,"Major area of over 1400 kms South of Tuticorin several nautical miles inside international waters. Promising sources of precious metals & chemicals including raw materials for nuclear energy.
2
6"
Ukraine,At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine PhilBlackCNN reports,Russian airstrike,AGAINST,world_event_domain,1,1,"At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine 
@PhilBlackCNN
 reports
12
28
61"
Ukraine,At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine PhilBlackCNN reports,bustling shopping mall,NONE,world_event_domain,1,1,"At least 18 people killed in a Russian airstrike on a bustling shopping mall in central Ukraine 
@PhilBlackCNN
 reports
12
28
61"
women's rights,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" But, sure, trans rights advocacy is the men's right movement.",Gender-critical men,FAVOR,rights_domain,1,1,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" 

But, sure, trans rights advocacy is the men's right movement.
7
9
82"
